% Of Applicant Portfolio,申請者ポートフォリオの割合(%),
% Of Total Portfolio,全体ポートフォリオの割合(%),
"<span class=""h4""><b>Reports &amp; Masters</b></span>","<span class=""h4""><b>レポート &amp; マスター</b></span>",
"<span class=""h4""><b>Your Shortcuts</b></span>","<span class=""h4""><b>ショートカット</b></span>",
ALM Audit Report,ALM監査レポート,
Account,勘定科目,
Account Info,アカウント情報,
Account {0} does not belong to company {1},アカウント{0}は会社{1}に属していません,
Account {0} does not belongs to company {1},アカウント{0}は会社{1}に属していません,
Accounting,会計,
Accounting Details,Accounting詳細,
Accounting Dimension,会計ディメンション,
Accounting Dimensions,会計ディメンション,
Accounting Ledger,会計元帳,
Accounts,勘定科目,
Accrual Date,見越日,
Accrual Details,見越詳細,
Accrual Type,見越タイプ,
Active,有効,
Add Loan Security,ローン担保を追加,
Add To First EMI,最初のEMIに追加,
Add to First EMI,最初のEMIに追加,
Add to Last EMI,最終EMIに追加,
Add to first repayment,最初の返済に追加,
Addition Interest Waiver Account is mandatory,追加利息免除アカウントは必須です,
Additional Interest,追加利息,
Additional Interest Accounts ,追加利息勘定科目 ,
Additional Interest Accrued,追加利息見越,
Additional Interest Amount,追加利息金額,
Additional Interest Income,追加利息収入,
Additional Interest Income Account is mandatory,追加利息収入アカウントは必須です,
Additional Interest Receivable,追加利息受取,
Additional Interest Receivable Account is mandatory,追加利息受取アカウントは必須です,
Additional Interest Suspense,追加利息仮勘定,
Additional Interest Suspense Entry,追加利息仮勘定エントリ,
Additional Interest Waiver,追加利息免除,
Additional Interest Waiver Account is mandatory,追加利息免除アカウントは必須です,
Address,住所,
Address Details,住所詳細,
Address HTML,住所HTML,
Address Line 1,住所1行目,
Address Line 2,住所2行目,
Address Links,住所リンク,
Adds the option to have employee loans,従業員向けローンのオプションを追加します,
Adds unique constraints to the email and phone number fields of the Customer DocType.,顧客DocTypeのメールアドレスと電話番号フィールドに一意制約を追加します。,
Adjust within the EMI amount,EMI金額内で調整,
Adjusted Amount,調整金額,
Adjusted Interest,調整済み利息,
Adjustment Account,調整アカウント,
Adjustment Details,調整詳細,
Adjustment Receivable Account,調整受取アカウント,
Adjustment Type,Adjustment種類,
Adjustments,調整,
Advance Payment,前払い,
Against Account is mandatory,相手アカウントは必須です,
Against Loan,対象ローン,
Against Loan ,ローンに対して ,
Against Loan:,対象ローン:,
Age,期間,
Ageing,エイジング,
All entries on and after this date will be reposted,この日付以降のすべてのエントリが再転記されます,
Allocated Amount,割り当て済み金額,
Allocated Date,配分日,
Allocated Demands,配分済み請求,
Amended From,修正元,
America/New_York,America/New_York,
Amortized Over Tenure,期間按分,
Amount,金額,
Amount Paid,支払い済み金額,
"Amount Paid must equal the sum of Principal, Interest, Penalty, Charges, Unbooked Interest, and Unbooked Penalty.",支払金額は、元金、利息、違約金、手数料、未計上利息、および未計上違約金の合計と等しくなければなりません。,
Amount cannot be negative,金額は負の値にできません,
Amount cannot be zero,金額はゼロにできません,
Amount for advance payment must be between one to two EMI amount,前払い金額はEMI金額の1～2倍の範囲でなければなりません,
Amount on which interest is calculated,利息が計算される金額,
Amount paid cannot be greater than available security deposit,支払い金額は利用可能な担保預り金を超えることはできません,
Amount paid cannot be greater than payable amount,支払い金額は支払い予定額を超えることはできません,
Amount paid cannot be less than payable amount for loan closure,ローン終了の場合、支払い金額は支払い予定額を下回ることはできません,
Amount paid cannot be zero,支払い金額はゼロにできません,
Amounts,金額,
Another Loan Restructure is already initiated for this Loan,このローンに対して別のローン再編が既に開始されています,
Applicant,申請者,
Applicant ,申請者 ,
Applicant (Borrower),申請者 (借主),
Applicant Details,申請者詳細,
Applicant Email,申請者メール,
Applicant Email Address,申請者メールアドレス,
Applicant Mobile,申請者携帯番号,
Applicant Name,Applicant名,
Applicant Phone Number,申請者電話番号,
Applicant Type,申請者タイプ,
Applicant-Wise Loan Security Exposure,申請者別ローン担保エクスポージャー,
Applicant-Wise Loan Security Exposure ,申請者別ローン担保エクスポージャー ,
Application Date,申請日,
Approved,承認済,
As on Date,基準日,
Atlest one security needs to be assigned,少なくとも1つの担保を割り当てる必要があります。,
Authentication Details,認証詳細,
Auto Write Off Amount ,自動償却金額 ,
Auto create customer,顧客を自動作成,
Auto create disbursement on loan booking,融資実行時に支払を自動作成,
Available Amount,利用可能金額,
Available Limit,利用可能限度額,
Available Limit Amount,利用可能限度額,
Available Security Deposit,利用可能担保預り金,
Available Security Value,利用可能担保価値,
BPI,BPI,
BPI Amount Difference,BPI金額差異,
BPI Difference Date,BPI差異日,
BPI Recovery Method,BPI回収方法,
BPI Treatment,BPI処理,
BPI difference entry,BPI差異エントリ,
Balance,残高,
Balance ({0}),残高 ({0}),
Balance Amount,残高,
Balance Charges,残高手数料,
Balance Loan Amount,ローン残高,
Balance Overdue Principal,延滞元本残高,
Balance Quantity,残高数量,
Bank,銀行,
Bank Account,銀行口座,
Banking,銀行業務,
Base Amount,基本金額,
Basic Details,基本詳細,
Bi-Weekly,隔週,
Billed Separately,別途請求,
Borrower Portal,借主ポータル,
Both Fixed Deposit and Corporate Guarantee,定期預金と法人保証の両方,
Branch,支店,
Branch Details,支店詳細,
Broken Period Interest,端数期間利息,
Broken Period Interest Days,端数期間利息日数,
Broken Period Interest Recovery Account,端数期間利息回収アカウント,
Bulk Repayment Log,一括返済ログ,
Business,事業,
Cancel Future Accruals and Demands ,将来の未払費用と請求をキャンセル ,
Cancel future EMI Demands,将来のEMI請求をキャンセル,
Cancellation Date,キャンセル日,
Cancelled,キャンセル済,
Cannot close loan as there is an outstanding of {0},未払い残高{0}があるため、ローンを終了できません,
